"Date","Price","Open","High","Low","Vol.","Change %"
"26 Aug 2022","14,320,997","14,923,891","15,119,245","14,214,033","0.04K","-4.04%"
"25 Aug 2022","14,923,891","14,835,000","15,150,074","14,800,000","0.03K","0.60%"
"24 Aug 2022","14,835,000","14,860,044","15,199,990","14,520,013","0.03K","-0.17%"
"23 Aug 2022","14,860,044","14,628,152","14,950,000","14,160,010","0.03K","1.59%"
"22 Aug 2022","14,628,152","14,831,019","15,500,000","14,408,768","0.02K","-1.37%"
"21 Aug 2022","14,831,019","14,532,726","15,000,000","14,366,222","0.02K","2.05%"
"20 Aug 2022","14,532,726","14,186,790","14,800,000","14,150,009","0.03K","2.44%"
"19 Aug 2022","14,186,790","15,778,439","15,778,975","14,180,022","0.04K","-10.09%"
"18 Aug 2022","15,778,439","15,764,756","16,170,000","15,720,001","0.03K","0.09%"
"17 Aug 2022","15,764,756","16,135,365","16,550,402","15,646,329","0.04K","-2.30%"
"16 Aug 2022","16,135,365","16,269,201","16,498,950","16,031,000","0.04K","-0.82%"
"15 Aug 2022","16,269,201","16,378,099","16,985,376","16,052,000","0.04K","-0.66%"
"14 Aug 2022","16,378,099","16,343,763","16,799,900","16,300,000","0.02K","0.21%"
"13 Aug 2022","16,343,763","16,237,190","16,650,000","16,160,158","0.03K","0.66%"
"12 Aug 2022","16,237,190","16,000,304","16,250,112","15,501,123","0.03K","1.48%"
"11 Aug 2022","16,000,304","15,970,000","16,799,500","15,880,474","0.04K","0.19%"
"10 Aug 2022","15,970,000","15,628,543","16,273,999","15,400,002","0.04K","2.18%"
"09 Aug 2022","15,628,543","15,860,004","16,095,000","15,451,202","0.04K","-1.46%"
"08 Aug 2022","15,860,004","15,266,246","16,300,000","15,204,062","0.03K","3.89%"
"07 Aug 2022","15,266,246","15,138,497","15,329,955","14,801,001","0.02K","0.84%"
"06 Aug 2022","15,138,497","15,157,565","15,200,000","14,891,285","0.02K","-0.13%"
"05 Aug 2022","15,157,565","14,624,044","15,299,999","14,575,012","0.04K","3.65%"
"04 Aug 2022","14,624,044","14,515,180","15,000,000","14,450,551","0.04K","0.75%"
"03 Aug 2022","14,515,180","15,095,857","15,460,355","14,400,001","0.04K","-3.85%"
"02 Aug 2022","15,095,857","15,749,976","15,750,000","14,050,001","0.04K","-4.15%"
"01 Aug 2022","15,749,976","15,930,003","16,300,000","15,400,000","0.05K","-1.13%"
"31 Jul 2022","15,930,003","15,922,155","16,399,886","15,500,000","0.03K","0.05%"
"30 Jul 2022","15,922,155","15,825,641","16,698,998","15,825,641","0.04K","0.61%"
"29 Jul 2022","15,825,641","16,720,024","17,500,000","15,771,000","0.04K","-5.35%"
"28 Jul 2022","16,720,024","15,900,101","17,000,000","15,771,000","0.06K","5.16%"
"27 Jul 2022","15,900,101","14,500,770","16,024,823","14,380,100","0.05K","9.65%"
"26 Jul 2022","14,500,770","14,345,713","14,500,770","13,550,229","0.05K","1.08%"
