"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 27, 2022","14,028,182","14,055,003","14,205,388","13,900,000","0.05K","-0.19%"
"Aug 26, 2022","14,055,003","14,923,891","15,119,245","14,050,205","0.05K","-5.82%"
"Aug 25, 2022","14,923,891","14,835,000","15,150,074","14,800,000","0.03K","0.60%"
"Aug 24, 2022","14,835,000","14,860,044","15,199,990","14,520,013","0.03K","-0.17%"
"Aug 23, 2022","14,860,044","14,628,152","14,950,000","14,160,010","0.03K","1.59%"
"Aug 22, 2022","14,628,152","14,831,019","15,500,000","14,408,768","0.02K","-1.37%"
"Aug 21, 2022","14,831,019","14,532,726","15,000,000","14,366,222","0.02K","2.05%"
"Aug 20, 2022","14,532,726","14,186,790","14,800,000","14,150,009","0.03K","2.44%"
"Aug 19, 2022","14,186,790","15,778,439","15,778,975","14,180,022","0.04K","-10.09%"
"Aug 18, 2022","15,778,439","15,764,756","16,170,000","15,720,001","0.03K","0.09%"
"Aug 17, 2022","15,764,756","16,135,365","16,550,402","15,646,329","0.04K","-2.30%"
"Aug 16, 2022","16,135,365","16,269,201","16,498,950","16,031,000","0.04K","-0.82%"
"Aug 15, 2022","16,269,201","16,378,099","16,985,376","16,052,000","0.04K","-0.66%"
"Aug 14, 2022","16,378,099","16,343,763","16,799,900","16,300,000","0.02K","0.21%"
"Aug 13, 2022","16,343,763","16,237,190","16,650,000","16,160,158","0.03K","0.66%"
"Aug 12, 2022","16,237,190","16,000,304","16,250,112","15,501,123","0.03K","1.48%"
"Aug 11, 2022","16,000,304","15,970,000","16,799,500","15,880,474","0.04K","0.19%"
"Aug 10, 2022","15,970,000","15,628,543","16,273,999","15,400,002","0.04K","2.18%"
"Aug 09, 2022","15,628,543","15,860,004","16,095,000","15,451,202","0.04K","-1.46%"
"Aug 08, 2022","15,860,004","15,266,246","16,300,000","15,204,062","0.03K","3.89%"
"Aug 07, 2022","15,266,246","15,138,497","15,329,955","14,801,001","0.02K","0.84%"
"Aug 06, 2022","15,138,497","15,157,565","15,200,000","14,891,285","0.02K","-0.13%"
"Aug 05, 2022","15,157,565","14,624,044","15,299,999","14,575,012","0.04K","3.65%"
"Aug 04, 2022","14,624,044","14,515,180","15,000,000","14,450,551","0.04K","0.75%"
"Aug 03, 2022","14,515,180","15,095,857","15,460,355","14,400,001","0.04K","-3.85%"
"Aug 02, 2022","15,095,857","15,749,976","15,750,000","14,050,001","0.04K","-4.15%"
"Aug 01, 2022","15,749,976","15,930,003","16,300,000","15,400,000","0.05K","-1.13%"
"Jul 31, 2022","15,930,003","15,922,155","16,399,886","15,500,000","0.03K","0.05%"
"Jul 30, 2022","15,922,155","15,825,641","16,698,998","15,825,641","0.04K","0.61%"
"Jul 29, 2022","15,825,641","16,720,024","17,500,000","15,771,000","0.04K","-5.35%"
"Jul 28, 2022","16,720,024","15,900,101","17,000,000","15,771,000","0.06K","5.16%"
"Jul 27, 2022","15,900,101","14,500,770","16,024,823","14,380,100","0.05K","9.65%"
"Jul 26, 2022","14,500,770","14,345,713","14,500,770","13,550,229","0.05K","1.08%"
"Jul 25, 2022","14,345,713","14,867,000","14,999,954","14,265,006","0.04K","-3.51%"
"Jul 24, 2022","14,867,000","14,499,990","15,200,000","14,420,000","0.03K","2.53%"
"Jul 23, 2022","14,499,990","14,791,052","15,080,499","14,000,500","0.02K","-1.97%"
"Jul 22, 2022","14,791,052","14,935,583","15,600,000","14,735,001","0.04K","-0.97%"
"Jul 21, 2022","14,935,583","14,841,068","15,200,951","14,450,023","0.04K","0.64%"
"Jul 20, 2022","14,841,068","14,840,000","15,595,000","13,700,000","0.05K","0.01%"
"Jul 19, 2022","14,840,000","14,100,100","15,198,994","13,610,000","0.05K","5.25%"
"Jul 18, 2022","14,100,100","12,950,142","14,500,000","12,601,999","0.05K","8.88%"
"Jul 17, 2022","12,950,142","13,187,527","13,574,966","12,950,044","0.03K","-1.80%"
"Jul 16, 2022","13,187,527","12,834,204","13,399,998","12,602,003","0.04K","2.75%"
"Jul 15, 2022","12,834,204","12,769,999","13,149,997","12,573,787","0.05K","0.85%"
"Jul 14, 2022","12,726,004","12,563,760","12,997,851","12,017,999","0.05K","1.29%"
"Jul 13, 2022","12,563,760","11,892,417","12,564,109","11,500,633","0.07K","5.65%"
"Jul 12, 2022","11,892,417","12,310,158","12,555,000","11,850,001","0.05K","-3.39%"
"Jul 11, 2022","12,310,158","12,895,217","13,100,000","12,077,000","0.05K","-4.54%"
"Jul 10, 2022","12,895,217","13,245,902","13,328,030","12,700,889","0.03K","-2.65%"
