"Date","Price","Open","High","Low","Change %"
"Aug 12, 2022","1.2774","1.2763","1.2803","1.2740","0.10"
"Aug 11, 2022","1.2761","1.2773","1.2793","1.2727","-0.09"
"Aug 10, 2022","1.2773","1.2888","1.2897","1.2750","-0.89"
"Aug 09, 2022","1.2888","1.2859","1.2902","1.2843","0.26"
"Aug 08, 2022","1.2854","1.2932","1.2952","1.2838","-0.59"
"Aug 05, 2022","1.2930","1.2865","1.2986","1.2861","0.51"
"Aug 04, 2022","1.2864","1.2845","1.2878","1.2817","0.20"
"Aug 03, 2022","1.2838","1.2883","1.2893","1.2831","-0.33"
"Aug 02, 2022","1.2880","1.2845","1.2888","1.2832","0.27"
"Aug 01, 2022","1.2845","1.2815","1.2858","1.2766","0.41"
"Jul 29, 2022","1.2793","1.2807","1.2856","1.2788","-0.09"
"Jul 28, 2022","1.2804","1.2825","1.2871","1.2794","-0.13"
"Jul 27, 2022","1.2821","1.2888","1.2913","1.2808","-0.49"
"Jul 26, 2022","1.2884","1.2849","1.2903","1.2815","0.28"
"Jul 25, 2022","1.2848","1.2916","1.2947","1.2834","-0.51"
"Jul 22, 2022","1.2914","1.2869","1.2929","1.2823","0.37"
"Jul 21, 2022","1.2867","1.2882","1.2938","1.2859","-0.13"
"Jul 20, 2022","1.2884","1.2871","1.2908","1.2853","0.12"
"Jul 19, 2022","1.2869","1.2981","1.2991","1.2867","-0.84"
"Jul 18, 2022","1.2978","1.3024","1.3030","1.2897","-0.40"
"Jul 15, 2022","1.3030","1.3120","1.3137","1.3012","-0.66"
"Jul 14, 2022","1.3117","1.2974","1.3225","1.2967","1.13"
"Jul 13, 2022","1.2971","1.3023","1.3062","1.2936","-0.38"
"Jul 12, 2022","1.3021","1.3009","1.3052","1.2983","0.12"
"Jul 11, 2022","1.3005","1.2950","1.3053","1.2941","0.44"
"Jul 08, 2022","1.2948","1.2965","1.3036","1.2936","-0.12"
"Jul 07, 2022","1.2964","1.3038","1.3057","1.2962","-0.55"
"Jul 06, 2022","1.3036","1.3039","1.3080","1.3011","0.00"
"Jul 05, 2022","1.3036","1.2861","1.3085","1.2843","1.38"
"Jul 04, 2022","1.2859","1.2888","1.2904","1.2837","-0.19"
"Jul 01, 2022","1.2883","1.2873","1.2968","1.2866","0.09"
"Jun 30, 2022","1.2872","1.2894","1.2934","1.2860","-0.15"
"Jun 29, 2022","1.2891","1.2874","1.2902","1.2843","0.16"
"Jun 28, 2022","1.2871","1.2881","1.2896","1.2818","-0.05"
"Jun 27, 2022","1.2878","1.2895","1.2917","1.2863","-0.12"
"Jun 24, 2022","1.2893","1.2996","1.3007","1.2889","-0.78"
"Jun 23, 2022","1.2994","1.2948","1.3019","1.2936","0.38"
"Jun 22, 2022","1.2945","1.2920","1.2998","1.2911","0.20"
"Jun 21, 2022","1.2919","1.2981","1.2988","1.2905","-0.46"
