"Date","Price","Open","High","Low","Change %"
"Aug 12, 2022","6.7428","6.7446","6.7465","6.7325","-0.03"
"Aug 11, 2022","6.7445","6.7238","6.7448","6.7238","0.32"
"Aug 10, 2022","6.7230","6.7526","6.7600","6.7230","-0.44"
"Aug 09, 2022","6.7525","6.7506","6.7583","6.7506","0.03"
"Aug 08, 2022","6.7505","6.7604","6.7650","6.7506","-0.15"
"Aug 05, 2022","6.7607","6.7417","6.7626","6.7417","0.18"
"Aug 04, 2022","6.7485","6.7512","6.7591","6.7464","-0.12"
"Aug 03, 2022","6.7565","6.7571","6.7592","6.7453","0.10"
"Aug 02, 2022","6.7499","6.7754","6.7823","6.7487","-0.26"
"Aug 01, 2022","6.7674","6.7474","6.7751","6.7452","0.36"
"Jul 29, 2022","6.7433","6.7442","6.7522","6.7279","-0.05"
"Jul 28, 2022","6.7465","6.7420","6.7519","6.7362","-0.16"
"Jul 27, 2022","6.7570","6.7628","6.7689","6.7505","-0.07"
"Jul 26, 2022","6.7616","6.7453","6.7655","6.7453","0.17"
"Jul 25, 2022","6.7499","6.7548","6.7580","6.7441","-0.00"
"Jul 22, 2022","6.7500","6.7628","6.7713","6.7473","-0.23"
"Jul 21, 2022","6.7655","6.7631","6.7712","6.7566","0.17"
"Jul 20, 2022","6.7540","6.7400","6.7564","6.7400","0.16"
"Jul 19, 2022","6.7430","6.7473","6.7542","6.7390","0.01"
"Jul 18, 2022","6.7420","6.7481","6.7551","6.7320","-0.21"
"Jul 15, 2022","6.7565","6.7517","6.7698","6.7396","0.03"
"Jul 14, 2022","6.7542","6.7269","6.7674","6.7228","0.55"
"Jul 13, 2022","6.7175","6.7280","6.7401","6.7165","-0.09"
"Jul 12, 2022","6.7234","6.7182","6.7391","6.7178","0.09"
"Jul 11, 2022","6.7175","6.6981","6.7202","6.6965","0.34"
"Jul 08, 2022","6.6945","6.6985","6.7094","6.6917","-0.09"
"Jul 07, 2022","6.7005","6.7119","6.7138","6.6968","-0.10"
"Jul 06, 2022","6.7070","6.7164","6.7164","6.7003","-0.18"
"Jul 05, 2022","6.7192","6.6965","6.7249","6.6840","0.29"
"Jul 04, 2022","6.6995","6.6997","6.7035","6.6860","-0.01"
"Jul 01, 2022","6.7000","6.6940","6.7181","6.6935","0.03"
"Jun 30, 2022","6.6981","6.7056","6.7063","6.6897","-0.02"
"Jun 29, 2022","6.6997","6.7060","6.7097","6.6879","-0.11"
"Jun 28, 2022","6.7070","6.6965","6.7144","6.6740","0.26"
"Jun 27, 2022","6.6899","6.6876","6.6958","6.6814","0.03"
"Jun 24, 2022","6.6878","6.6946","6.7010","6.6838","-0.15"
"Jun 23, 2022","6.6980","6.7045","6.7155","6.6965","-0.00"
"Jun 22, 2022","6.6983","6.7028","6.7275","6.6965","0.15"
"Jun 21, 2022","6.6880","6.6835","6.7020","6.6741","-0.03"
"Jun 20, 2022","6.6900","6.7092","6.7109","6.6715","-0.39"
"Jun 17, 2022","6.7160","6.6979","6.7193","6.6915","0.19"
"Jun 16, 2022","6.7030","6.6939","6.7190","6.6916","-0.15"
"Jun 15, 2022","6.7128","6.7277","6.7283","6.7030","-0.40"
"Jun 14, 2022","6.7395","6.7606","6.7617","6.7133","-0.20"
"Jun 13, 2022","6.7530","6.7393","6.7593","6.7264","0.67"
"Jun 10, 2022","6.7081","6.6909","6.7185","6.6789","0.25"
"Jun 09, 2022","6.6915","6.6944","6.7013","6.6635","0.13"
"Jun 08, 2022","6.6825","6.6675","6.6974","6.6625","0.22"
"Jun 07, 2022","6.6675","6.6673","6.6790","6.6610","0.21"
"Jun 06, 2022","6.6534","6.6418","6.6586","6.6376","-0.11"
"Jun 03, 2022","6.6607","6.6603","6.6607","6.6601","0.02"
"Jun 02, 2022","6.6596","6.6930","6.7064","6.6595","-0.39"
"Jun 01, 2022","6.6858","6.6676","6.7009","6.6641","0.21"
"May 31, 2022","6.6715","6.6708","6.6754","6.6508","0.18"
"May 30, 2022","6.6597","6.7024","6.7026","6.6443","-0.57"
"May 27, 2022","6.6980","6.7520","6.7521","6.6918","-0.59"
"May 26, 2022","6.7380","6.6916","6.7509","6.6916","0.69"
"May 25, 2022","6.6916","6.6610","6.6994","6.6564","0.58"
"May 24, 2022","6.6530","6.6613","6.6806","6.6493","0.06"
"May 23, 2022","6.6490","6.6768","6.6925","6.6448","-0.64"
"May 20, 2022","6.6921","6.7222","6.7320","6.6673","-0.24"
"May 19, 2022","6.7085","6.7621","6.7705","6.7111","-0.67"
"May 18, 2022","6.7540","6.7415","6.7580","6.7377","0.30"
"May 17, 2022","6.7337","6.7783","6.7832","6.7224","-0.72"
"May 16, 2022","6.7822","6.7780","6.8038","6.7724","-0.09"
"May 13, 2022","6.7880","6.7916","6.8127","6.7757","0.03"
"May 12, 2022","6.7860","6.7325","6.7976","6.7280","1.00"
"May 11, 2022","6.7186","6.7337","6.7386","6.7105","-0.23"
"May 10, 2022","6.7343","6.7315","6.7408","6.6898","0.07"
"May 09, 2022","6.7295","6.7042","6.7323","6.6916","0.97"
"May 06, 2022","6.6651","6.6602","6.6956","6.6592","0.17"
"May 05, 2022","6.6535","6.5908","6.6557","6.5908","0.68"
"May 04, 2022","6.6085","6.6084","6.6086","6.6080","0.00"
"May 03, 2022","6.6084","6.6085","6.6089","6.6078","0.00"
"May 02, 2022","6.6082","6.6085","6.6087","6.6078","0.00"
"Apr 29, 2022","6.6080","6.6150","6.6515","6.5841","-0.25"
"Apr 28, 2022","6.6243","6.5607","6.6309","6.5588","0.99"
"Apr 27, 2022","6.5595","6.5613","6.5655","6.5469","0.07"
"Apr 26, 2022","6.5552","6.5608","6.5637","6.5266","-0.05"
"Apr 25, 2022","6.5585","6.5148","6.5792","6.5131","0.88"
"Apr 22, 2022","6.5010","6.4516","6.5067","6.4491","0.79"
"Apr 21, 2022","6.4500","6.4155","6.4540","6.4083","0.49"
"Apr 20, 2022","6.4188","6.4095","6.4211","6.3946","0.40"
"Apr 19, 2022","6.3930","6.3691","6.3984","6.3685","0.47"
"Apr 18, 2022","6.3630","6.3763","6.3768","6.3641","-0.12"
"Apr 15, 2022","6.3705","6.3777","6.3780","6.3673","-0.11"
"Apr 14, 2022","6.3775","6.3664","6.3820","6.3621","0.15"
"Apr 13, 2022","6.3678","6.3685","6.3717","6.3628","0.04"
