"Date","Price","Open","High","Low","Change %"
"Aug 12, 2022","418.720","418.870","419.220","418.850","0.08"
"Aug 11, 2022","418.370","418.690","418.870","418.690","0.04"
"Aug 10, 2022","418.190","417.970","418.690","417.950","0.17"
"Aug 09, 2022","417.470","417.970","417.970","417.950","0.00"
"Aug 08, 2022","417.470","417.570","425.500","417.550","0.10"
"Aug 05, 2022","417.070","417.190","417.570","417.180","0.09"
"Aug 04, 2022","416.690","416.690","417.190","416.680","0.12"
"Aug 03, 2022","416.190","416.400","416.690","416.380","0.07"
"Aug 02, 2022","415.900","416.180","416.400","416.150","0.05"
"Aug 01, 2022","415.680","415.870","416.180","415.850","0.07"
"Jul 29, 2022","415.370","415.460","415.870","415.450","0.10"
"Jul 28, 2022","414.960","415.640","415.650","415.460","-0.04"
"Jul 27, 2022","415.140","415.250","415.640","415.240","0.09"
"Jul 26, 2022","414.750","415.250","415.250","415.200","0.00"
"Jul 25, 2022","414.750","414.720","425.500","414.700","0.13"
"Jul 22, 2022","414.220","415.400","415.420","414.720","-0.16"
"Jul 21, 2022","414.900","415.400","415.420","415.400","0.00"
"Jul 20, 2022","414.900","415.400","415.420","415.400","0.00"
"Jul 19, 2022","414.900","415.400","415.480","415.400","0.00"
"Jul 18, 2022","414.900","415.400","425.500","415.400","0.00"
"Jul 15, 2022","414.900","415.330","415.400","415.320","0.02"
"Jul 14, 2022","414.830","415.330","415.330","415.320","0.00"
"Jul 13, 2022","414.830","415.320","425.500","415.320","0.00"
"Jul 12, 2022","414.820","415.330","415.330","415.320","-0.00"
"Jul 11, 2022","414.830","415.330","415.350","415.330","0.00"
"Jul 08, 2022","414.830","415.260","415.330","415.250","0.02"
"Jul 07, 2022","414.760","415.330","425.500","415.260","-0.02"
"Jul 06, 2022","414.830","415.300","425.500","415.300","0.01"
"Jul 05, 2022","414.800","415.270","415.300","415.250","0.01"
"Jul 04, 2022","414.770","415.270","419.500","415.270","0.00"
"Jul 01, 2022","414.770","415.270","415.270","415.250","0.00"
"Jun 30, 2022","414.770","415.100","415.270","415.080","0.04"
