"Date","Price","Open","High","Low","Change %"
"Aug 12, 2022","55.660","55.410","55.750","55.320","0.49"
"Aug 11, 2022","55.390","55.420","55.580","55.292","-0.04"
"Aug 10, 2022","55.410","55.670","55.860","55.370","-0.34"
"Aug 09, 2022","55.600","55.380","55.690","55.370","0.40"
"Aug 08, 2022","55.380","55.460","55.730","55.349","-0.29"
"Aug 05, 2022","55.541","55.610","55.649","55.145","0.02"
"Aug 04, 2022","55.531","55.740","55.785","55.514","-0.30"
"Aug 03, 2022","55.700","55.550","55.840","55.550","0.18"
"Aug 02, 2022","55.600","55.390","55.640","55.310","0.42"
"Aug 01, 2022","55.370","55.290","55.500","55.290","0.05"
"Jul 29, 2022","55.340","55.810","55.890","55.045","-0.81"
"Jul 28, 2022","55.790","55.530","55.985","55.490","0.50"
"Jul 27, 2022","55.510","55.430","55.820","55.365","0.16"
"Jul 26, 2022","55.420","55.790","55.908","55.295","-0.65"
"Jul 25, 2022","55.780","56.160","56.240","55.730","-0.59"
"Jul 22, 2022","56.110","56.410","56.425","56.070","-0.39"
"Jul 21, 2022","56.330","56.280","56.480","56.265","0.12"
"Jul 20, 2022","56.260","56.170","56.350","56.155","0.18"
"Jul 19, 2022","56.160","56.310","56.408","56.120","-0.28"
"Jul 18, 2022","56.320","56.360","56.405","56.260","0.09"
"Jul 15, 2022","56.270","56.360","56.440","56.270","-0.12"
"Jul 14, 2022","56.340","56.260","56.545","55.967","0.09"
"Jul 13, 2022","56.290","56.350","56.430","56.201","-0.09"
"Jul 12, 2022","56.340","55.990","56.513","55.990","0.52"
"Jul 11, 2022","56.050","55.910","56.081","55.850","0.39"
"Jul 08, 2022","55.830","55.930","56.140","55.780","-0.16"
"Jul 07, 2022","55.920","55.850","56.090","55.710","0.20"
"Jul 06, 2022","55.810","55.350","55.905","55.330","0.74"
"Jul 05, 2022","55.400","55.090","55.500","54.978","0.58"
"Jul 04, 2022","55.080","55.110","55.215","54.968","-0.07"
"Jul 01, 2022","55.120","54.980","55.317","54.880","0.20"
"Jun 30, 2022","55.010","55.030","55.145","54.795","0.13"
"Jun 29, 2022","54.940","54.740","55.119","54.740","0.29"
"Jun 28, 2022","54.780","54.770","54.875","54.615","0.00"
"Jun 27, 2022","54.780","54.860","55.170","54.730","-0.20"
"Jun 24, 2022","54.890","54.670","54.990","54.560","0.66"
"Jun 23, 2022","54.530","54.440","54.767","54.360","0.31"
"Jun 22, 2022","54.360","54.210","54.635","54.210","0.17"
"Jun 21, 2022","54.270","54.110","54.420","54.025","0.32"
"Jun 20, 2022","54.099","53.750","54.129","53.750","0.65"
"Jun 17, 2022","53.750","53.480","53.810","53.415","0.52"
"Jun 16, 2022","53.470","53.320","53.641","53.295","0.19"
"Jun 15, 2022","53.370","53.250","53.470","53.210","0.19"
"Jun 14, 2022","53.270","53.250","53.380","53.120","-0.04"
"Jun 13, 2022","53.290","53.090","53.400","53.075","0.45"
