"Date","Price","Open","High","Low","Change %"
"Aug 12, 2022","219.300","217.000","219.550","214.250","0.00"
"Aug 11, 2022","219.300","221.550","221.875","216.250","-2.16"
"Aug 10, 2022","224.150","223.625","224.450","220.250","0.00"
"Aug 09, 2022","224.150","224.300","224.450","224.265","0.04"
"Aug 08, 2022","224.050","224.400","224.400","224.350","0.08"
"Aug 05, 2022","223.880","226.125","226.125","221.250","-0.67"
"Aug 04, 2022","225.400","228.625","228.775","222.625","-1.42"
"Aug 03, 2022","228.650","238.125","238.125","224.750","-4.03"
"Aug 02, 2022","238.250","238.250","240.150","237.950","-0.40"
"Aug 01, 2022","239.200","238.750","240.425","238.380","-0.19"
"Jul 29, 2022","239.660","239.625","240.425","238.750","-0.02"
"Jul 28, 2022","239.700","235.875","240.150","235.750","1.89"
"Jul 27, 2022","235.250","232.750","236.635","232.750","1.27"
"Jul 26, 2022","232.290","230.125","233.500","228.550","1.11"
"Jul 25, 2022","229.750","227.750","230.375","227.750","0.77"
"Jul 22, 2022","228.000","226.500","229.125","226.250","0.44"
"Jul 21, 2022","227.000","225.125","229.125","224.250","1.00"
"Jul 20, 2022","224.750","221.875","226.250","221.875","1.47"
"Jul 19, 2022","221.500","216.250","223.100","214.750","2.78"
"Jul 18, 2022","215.500","210.875","216.260","209.750","2.28"
"Jul 15, 2022","210.700","209.875","210.875","208.500","0.62"
"Jul 14, 2022","209.400","210.875","210.875","208.150","-0.28"
"Jul 13, 2022","209.990","207.875","210.875","207.500","1.51"
"Jul 11, 2022","206.860","207.505","207.525","207.405","-0.10"
"Jul 08, 2022","207.060","207.755","207.755","207.495","-0.01"
"Jul 07, 2022","207.090","207.250","208.375","207.150","-0.10"
"Jul 06, 2022","207.290","206.625","207.995","206.100","0.38"
"Jul 05, 2022","206.500","204.350","206.625","204.350","0.98"
"Jul 04, 2022","204.500","204.725","204.725","204.000","0.00"
"Jun 30, 2022","204.500","205.025","205.200","203.550","-0.07"
"Jun 29, 2022","204.650","206.875","206.875","204.500","-0.92"
"Jun 28, 2022","206.540","207.750","207.875","205.750","-0.10"
"Jun 27, 2022","206.750","207.625","207.850","206.650","-0.60"
"Jun 24, 2022","208.000","207.625","208.350","206.875","-0.19"
"Jun 23, 2022","208.400","211.625","211.740","205.850","-1.35"
"Jun 22, 2022","211.250","212.250","212.270","208.750","-0.12"
"Jun 21, 2022","211.500","210.190","212.270","209.145","1.01"
"Jun 20, 2022","209.380","209.250","210.500","208.150","0.42"
"Jun 17, 2022","208.500","209.125","209.385","207.150","0.12"
"Jun 16, 2022","208.250","207.250","209.135","205.700","0.85"
"Jun 15, 2022","206.500","206.375","207.250","204.850","0.36"
"Jun 14, 2022","205.750","204.250","206.385","202.250","1.11"
"Jun 13, 2022","203.500","201.375","204.410","201.375","0.94"
"Jun 10, 2022","201.600","201.125","202.250","199.250","-0.18"
"Jun 09, 2022","201.960","201.375","202.050","199.850","0.98"
"Jun 08, 2022","200.000","202.625","202.700","199.750","-1.11"
"Jun 07, 2022","202.250","200.375","203.250","199.950","1.23"
"Jun 06, 2022","199.800","197.450","200.395","197.450","1.22"
"Jun 03, 2022","197.400","197.250","197.760","197.150","0.10"
"Jun 02, 2022","197.200","197.850","197.925","197.150","-0.15"
"Jun 01, 2022","197.500","198.150","198.525","197.250","-0.60"
"May 31, 2022","198.700","198.875","199.125","198.150","0.05"
"May 30, 2022","198.600","199.875","199.875","197.900","-0.58"
"May 27, 2022","199.750","202.625","202.625","199.180","-1.24"
"May 26, 2022","202.250","201.875","202.645","201.150","0.12"
"May 25, 2022","202.000","201.350","202.510","200.750","0.95"
"May 24, 2022","200.100","200.625","201.360","199.650","-0.15"
"May 23, 2022","200.400","200.050","201.210","199.500","0.15"
"May 20, 2022","200.100","199.825","201.255","199.250","0.20"
"May 19, 2022","199.700","198.450","201.220","198.150","1.11"
"May 18, 2022","197.500","196.750","198.670","195.825","0.51"
"May 17, 2022","196.500","193.550","196.760","193.250","1.66"
"May 16, 2022","193.300","192.650","194.510","192.150","0.29"
"May 13, 2022","192.750","192.400","193.510","190.750","0.44"
"May 12, 2022","191.900","190.750","192.400","189.250","0.73"
"May 11, 2022","190.500","189.450","190.760","188.250","0.82"
"May 10, 2022","188.950","188.300","189.450","187.000","0.72"
"May 09, 2022","187.600","186.525","188.310","185.850","0.84"
"May 06, 2022","186.030","185.750","186.545","185.250","0.34"
"May 05, 2022","185.400","185.700","185.760","185.610","0.10"
"May 04, 2022","185.220","185.650","185.660","185.650","-0.10"
"May 03, 2022","185.400","185.700","185.750","185.570","0.00"
"May 02, 2022","185.400","185.650","185.750","185.650","-0.16"
"Apr 30, 2022","185.700","185.700","185.700","185.700","0.16"
"Apr 29, 2022","185.400","185.500","185.855","185.250","0.06"
"Apr 28, 2022","185.290","185.375","185.970","184.950","-0.02"
"Apr 27, 2022","185.320","185.650","185.675","185.200","-0.34"
"Apr 26, 2022","185.950","185.875","186.275","185.375","0.13"
"Apr 25, 2022","185.700","186.150","187.665","185.150","-0.81"
"Apr 22, 2022","187.210","186.925","187.760","186.215","0.30"
"Apr 21, 2022","186.650","186.125","187.100","185.650","0.57"
"Apr 20, 2022","185.600","184.650","186.200","183.900","1.42"
"Apr 19, 2022","183.000","182.375","184.650","181.750","0.61"
"Apr 18, 2022","181.890","181.775","182.395","181.200","0.49"
"Apr 16, 2022","181.000","181.250","181.250","181.250","-0.28"
"Apr 15, 2022","181.500","181.450","182.075","180.975","0.48"
"Apr 14, 2022","180.640","181.875","181.875","180.750","-0.34"
"Apr 13, 2022","181.250","181.850","182.050","181.250","-0.20"
"Apr 12, 2022","181.620","182.950","183.370","181.000","-0.66"
"Apr 11, 2022","182.820","184.600","184.600","182.200","-0.64"
"Apr 08, 2022","184.000","188.500","188.600","184.350","-2.13"
"Apr 07, 2022","188.000","186.525","189.025","185.900","1.05"
"Apr 06, 2022","186.050","185.550","186.535","185.100","0.51"
"Apr 05, 2022","185.100","184.100","185.595","183.820","1.04"
"Apr 04, 2022","183.200","183.850","184.470","183.550","-0.38"
"Apr 01, 2022","183.900","184.200","184.610","182.420","0.27"
"Mar 31, 2022","183.400","182.700","184.200","182.500","0.55"
"Mar 30, 2022","182.400","182.600","182.750","182.075","0.11"
"Mar 29, 2022","182.200","182.550","182.625","181.900","0.05"
"Mar 28, 2022","182.100","182.200","182.585","181.550","0.22"
"Mar 25, 2022","181.700","182.150","182.235","181.400","0.06"
"Mar 24, 2022","181.600","182.200","182.210","181.325","-0.06"
"Mar 23, 2022","181.700","182.200","182.200","181.350","0.00"
