,Unnamed: 0.1,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name,ID,Likes
0,0,,Can Parkinson's Disease Be Cured? Here's What We Know - Healthline,"Parkinson's disease can seriously impact your health and daily life. There's no cure yet, but research is always ongoing. Learn more.",https://www.healthline.com/health/parkinsons-disease-curable,https://post.healthline.com/wp-content/uploads/2021/11/Female-Window-Home-Serious-1200x628-Facebook-1200x628.jpg,2022-01-19T19:47:30Z,"Parkinsons disease is a chronic, progressive disorder that causes you to experience certain physical and cognitive symptoms. These changes can weaken your ability to control your movements, speak, an… [+9359 chars]",,Healthline,37314B9E7DCFF214,0
1,1,Science X staff,Scientists find previously unknown jumping behavior in insects - Phys.org,"A team of researchers has discovered a jumping behavior that is entirely new to insect larvae, and there is evidence that it is occurring in a range of species—we just haven't noticed it before.",https://phys.org/news/2022-01-scientists-previously-unknown-behavior-insects.html,https://scx2.b-cdn.net/gfx/news/hires/2022/scientists-find-previo.jpg,2022-01-19T19:28:30Z,"A team of researchers has discovered a jumping behavior that is entirely new to insect larvae, and there is evidence that it is occurring in a range of specieswe just haven't noticed it before.
The … [+4967 chars]",,Phys.Org,C1148028EDC95CC3,0
2,2,Sam Thompson,"Winnipeg fugitive accused of two homicides now behind bars, police say - Globalnews.ca",Thunder Lightning Fontaine was wanted for first-degree murder in the Nov. 24 death of Angus Maple and second-degree murder in the death of Anthony Sinclair on Dec. 9.,https://globalnews.ca/news/8523943/winnipeg-fugitive-homicide-caught/,https://globalnews.ca/wp-content/uploads/2022/01/fontaine2.png?w=720&h=285&crop=1,2022-01-19T19:24:44Z,"Winnipeg police have arrested a suspect wanted in connection with two late-2021 homicide investigations.
Thunder Lightning Fontaine was wanted for first-degree murder in the Nov. 24 death of Angus M… [+666 chars]",,Global News,C8936AA7CC657E45,0
3,3,,"ENTERTAINMENT: Comedian AY Makun, wife welcome second child after 13 years - TV360 Nigeria",TV360 is Nigeria's first exclusive online television news channel based in Lagos. Our focus is news. There is no limit to the kind of news we cover. Our goal...,https://www.youtube.com/watch?v=rnxImF_spe0,https://i.ytimg.com/vi/rnxImF_spe0/maxresdefault.jpg,2022-01-19T18:41:33Z,,,YouTube,5BBB014C38210DB2,0
4,4,Harry Baker,164 million-year-old plant fossil is the oldest example of a flowering bud - Livescience.com,"The discovery changes what we know about the evolution of flowering plants, researchers say.",https://www.livescience.com/oldest-flower-bud-fossil,https://cdn.mos.cms.futurecdn.net/fApDBnumx46h8CfMsKZjBL-1200-80.jpg,2022-01-19T18:31:00Z,"The fossilized Florigerminis jurassica plant with a defined stem, bulbous fruit and fossilized flower bud (marked by the white arrow). (Image credit: NIGPAS)
Researchers have uncovered the earliest … [+3486 chars]",,Live Science,BDF884BC2570761E,0
5,5,,Aggrieved Ekiti protesters storm PDP over governorship primary ward congress - Vanguard,,https://news.google.com/__i/rss/rd/articles/CBMicWh0dHBzOi8vd3d3LnZhbmd1YXJkbmdyLmNvbS8yMDIyLzAxL2FnZ3JpZXZlZC1la2l0aS1wcm90ZXN0ZXJzLXN0b3JtLXBkcC1vdmVyLWdvdmVybm9yc2hpcC1wcmltYXJ5LXdhcmQtY29uZ3Jlc3Mv0gEA?oc=5,,2022-01-19T17:49:08Z,,google-news,Google News,47DD81272DDBA428,0
6,6,Premium Times,Lagos acquires two 'high speed trains' for Marina-Agbado route - Premium Times,"""The 37km Red Line on completion will traverse eight stations and move passengers from Agbado to Oyingbo.""",https://www.premiumtimesng.com/news/more-news/506695-lagos-acquires-two-high-speed-trains-for-marina-agbado-route.html,https://media.premiumtimesng.com/wp-content/files/2022/01/WhatsApp-Image-2022-01-19-at-5.53.27-PM.jpeg,2022-01-19T17:42:17Z,"Governor Babajide Sanwo-Olu of Lagos State on Wednesday inspected the government’s newly acquired Talgo 330kmph speed trains for the Red Line Metro project.
Mr Sanwo-Olu stated this on his official … [+1549 chars]",,Premium Times,0C7939B56F1FD54F,0
7,7,Eric Mack,NASA satellite spots giant planets on the edge of destruction - CNET,One of the worlds is closer to getting swallowed by its sun than any other.,https://www.cnet.com/news/nasa-satellite-spots-giant-planets-on-the-edge-of-destruction/,https://www.cnet.com/a/img/gIxsHlIugN5bstgK6AiXdxwibgg=/1200x630/2022/01/19/66371181-8d53-465c-b3be-38cfba25e114/press-release-1-768x467.jpg,2022-01-19T17:32:05Z,"An artist's rendition of what a planetary system similar to TOI-2337b, TOI-4329b and TOI-2669b might look like, with a hot Jupiter-like exoplanet orbiting a dying star. 
Karen Teramura/University of… [+2179 chars]",,CNET,C7C853B1B56A4E98,0
8,8,Bakare Majeed,"Reps amend Electoral Bill, recommend direct, indirect primaries - Premium Times",President Muhammadu Buhari had declined assent to the Electoral Bill earlier passed by the National Assembly because of the........,https://www.premiumtimesng.com/news/top-news/506683-reps-amend-electoral-bill-recommend-direct-indirect-primaries.html,https://media.premiumtimesng.com/wp-content/files/2021/07/217898353_3037134423225817_6800294834390612053_n.jpg,2022-01-19T17:08:05Z,The House of Representatives on Wednesday reconsidered the Electoral Act Amendment Bill and passed it after expunging the mandatory use of direct primaries by political parties to elect candidates to… [+6653 chars],,Premium Times,4DDC08CE73C76898,0
9,9,,Singer Seyi Shay Reveals She Is Engaged - Daily Trust,"Nigerian Singer and songwriter, Deborah Oluwaseyi Joshua popularly known as Seyi Shay, revealed that she is engaged to be married.",https://dailytrust.com/singer-seyi-shay-reveals-she-is-engaged,https://cms.dailytrust.com.ng/wp-content/uploads/2019/11/seyi-shay-1.jpg,2022-01-19T16:24:57Z,"Nigerian Singer and songwriter, Deborah Oluwaseyi Joshua popularly known as Seyi Shay, revealed that she is engaged and set to get married.
The Right Now singer disclosed this on Monday morning on t… [+1119 chars]",,Dailytrust.com,9841BD34D6A789AA,1
