"Date","Price","Open","High","Low","Change %"
"Aug 12, 2022","0.00004099","0.00004177","0.00004234","0.00004092","0.00"
"Aug 11, 2022","0.00004177","0.00004174","0.00004190","0.00004021","0.00"
"Aug 10, 2022","0.00004175","0.00004320","0.00004401","0.00004136","0.00"
"Aug 09, 2022","0.00004322","0.00004199","0.00004371","0.00004182","0.00"
"Aug 08, 2022","0.00004200","0.00004315","0.00004318","0.00004126","0.00"
"Aug 07, 2022","0.00004314","0.00004358","0.00004373","0.00004276","0.00"
"Aug 06, 2022","0.00004361","0.00004290","0.00004363","0.00004286","0.00"
"Aug 05, 2022","0.00004293","0.00004421","0.00004426","0.00004265","0.00"
"Aug 04, 2022","0.00004422","0.00004382","0.00004457","0.00004308","0.00"
"Aug 03, 2022","0.00004376","0.00004350","0.00004406","0.00004232","0.00"
"Aug 02, 2022","0.00004352","0.00004298","0.00004412","0.00004270","0.00"
"Aug 01, 2022","0.00004294","0.00004294","0.00004374","0.00004258","0.00"
"Jul 31, 2022","0.00004289","0.00004231","0.00004304","0.00004136","0.00"
"Jul 30, 2022","0.00004230","0.00004206","0.00004251","0.00004064","0.00"
"Jul 29, 2022","0.00004202","0.00004193","0.00004265","0.00004112","0.00"
"Jul 28, 2022","0.00004193","0.00004356","0.00004422","0.00004134","0.00"
"Jul 27, 2022","0.00004356","0.00004707","0.00004751","0.00004344","0.00"
"Jul 26, 2022","0.00004701","0.00004694","0.00004822","0.00004689","0.00"
"Jul 25, 2022","0.00004691","0.00004428","0.00004700","0.00004414","0.00"
"Jul 24, 2022","0.00004427","0.00004454","0.00004488","0.00004351","0.00"
"Jul 23, 2022","0.00004452","0.00004410","0.00004551","0.00004349","0.00"
"Jul 22, 2022","0.00004405","0.00004320","0.00004437","0.00004212","0.00"
"Jul 21, 2022","0.00004320","0.00004306","0.00004472","0.00004273","0.00"
"Jul 20, 2022","0.00004307","0.00004274","0.00004360","0.00004123","0.00"
"Jul 19, 2022","0.00004271","0.00004456","0.00004634","0.00004210","0.00"
"Jul 18, 2022","0.00004424","0.00004809","0.00004815","0.00004401","0.00"
"Jul 17, 2022","0.00004811","0.00004715","0.00004816","0.00004618","0.00"
"Jul 16, 2022","0.00004719","0.00004802","0.00004882","0.00004639","0.00"
"Jul 15, 2022","0.00004803","0.00004857","0.00004903","0.00004722","0.00"
"Jul 14, 2022","0.00004857","0.00004942","0.00005085","0.00004793","0.00"
"Jul 13, 2022","0.00004941","0.00005172","0.00005279","0.00004938","0.00"
"Jul 12, 2022","0.00005175","0.00005009","0.00005184","0.00004986","0.00"
"Jul 11, 2022","0.00005010","0.00004797","0.00005026","0.00004797","0.00"
"Jul 10, 2022","0.00004797","0.00004632","0.00004830","0.00004630","0.00"
"Jul 09, 2022","0.00004633","0.00004627","0.00004687","0.00004557","0.00"
"Jul 08, 2022","0.00004627","0.00004621","0.00004716","0.00004470","0.00"
"Jul 07, 2022","0.00004619","0.00004863","0.00004929","0.00004585","0.00"
"Jul 06, 2022","0.00004863","0.00004955","0.00005053","0.00004840","0.00"
"Jul 05, 2022","0.00004951","0.00004944","0.00005175","0.00004832","0.00"
"Jul 04, 2022","0.00004946","0.00005177","0.00005248","0.00004925","0.00"
"Jul 03, 2022","0.00005177","0.00005195","0.00005297","0.00005093","0.00"
"Jul 02, 2022","0.00005195","0.00005186","0.00005258","0.00005152","0.00"
"Jul 01, 2022","0.00005195","0.00005020","0.00005269","0.00004831","0.00"
"Jun 30, 2022","0.00005038","0.00004969","0.00005352","0.00004960","0.00"
"Jun 29, 2022","0.00004970","0.00004931","0.00005030","0.00004898","0.00"
"Jun 28, 2022","0.00004929","0.00004823","0.00004947","0.00004716","0.00"
