"Date","Price","Open","High","Low","Change %"
"Aug 12, 2022","0.9417","0.9416","0.9450","0.9408","0.11"
"Aug 11, 2022","0.9407","0.9427","0.9448","0.9370","-0.17"
"Aug 10, 2022","0.9423","0.9538","0.9548","0.9391","-1.17"
"Aug 09, 2022","0.9535","0.9550","0.9560","0.9510","-0.16"
"Aug 08, 2022","0.9550","0.9621","0.9637","0.9521","-0.63"
"Aug 05, 2022","0.9611","0.9556","0.9653","0.9537","0.65"
"Aug 04, 2022","0.9549","0.9604","0.9625","0.9542","-0.58"
"Aug 03, 2022","0.9605","0.9575","0.9654","0.9542","0.32"
"Aug 02, 2022","0.9574","0.9495","0.9578","0.9470","0.83"
"Aug 01, 2022","0.9495","0.9520","0.9538","0.9481","-0.20"
"Jul 29, 2022","0.9514","0.9549","0.9596","0.9501","-0.36"
"Jul 28, 2022","0.9548","0.9599","0.9635","0.9543","-0.51"
"Jul 27, 2022","0.9597","0.9627","0.9661","0.9584","-0.30"
"Jul 26, 2022","0.9626","0.9646","0.9669","0.9615","-0.19"
"Jul 25, 2022","0.9644","0.9630","0.9663","0.9609","0.30"
"Jul 22, 2022","0.9615","0.9669","0.9707","0.9599","-0.52"
"Jul 21, 2022","0.9665","0.9715","0.9741","0.9664","-0.49"
"Jul 20, 2022","0.9713","0.9688","0.9738","0.9675","0.29"
"Jul 19, 2022","0.9685","0.9775","0.9790","0.9653","-0.94"
"Jul 18, 2022","0.9777","0.9771","0.9793","0.9730","0.16"
"Jul 15, 2022","0.9761","0.9842","0.9845","0.9759","-0.78"
"Jul 14, 2022","0.9838","0.9785","0.9888","0.9783","0.52"
"Jul 13, 2022","0.9787","0.9823","0.9832","0.9757","-0.30"
"Jul 12, 2022","0.9816","0.9829","0.9861","0.9803","-0.13"
"Jul 11, 2022","0.9829","0.9762","0.9845","0.9760","0.69"
"Jul 08, 2022","0.9762","0.9740","0.9800","0.9722","0.26"
"Jul 07, 2022","0.9737","0.9708","0.9750","0.9682","0.32"
"Jul 06, 2022","0.9706","0.9685","0.9745","0.9671","0.24"
"Jul 05, 2022","0.9683","0.9611","0.9707","0.9592","0.75"
"Jul 04, 2022","0.9611","0.9611","0.9621","0.9574","0.19"
"Jul 01, 2022","0.9593","0.9553","0.9643","0.9542","0.46"
"Jun 30, 2022","0.9549","0.9550","0.9607","0.9529","-0.03"
"Jun 29, 2022","0.9552","0.9578","0.9579","0.9495","-0.20"
"Jun 28, 2022","0.9571","0.9559","0.9589","0.9534","0.14"
"Jun 27, 2022","0.9558","0.9572","0.9623","0.9542","-0.22"
"Jun 24, 2022","0.9579","0.9613","0.9635","0.9521","-0.33"
"Jun 23, 2022","0.9611","0.9617","0.9681","0.9567","-0.03"
"Jun 22, 2022","0.9614","0.9661","0.9691","0.9581","-0.49"
"Jun 21, 2022","0.9661","0.9676","0.9689","0.9632","-0.12"
"Jun 20, 2022","0.9673","0.9719","0.9719","0.9621","-0.25"
"Jun 17, 2022","0.9697","0.9664","0.9734","0.9619","0.32"
"Jun 16, 2022","0.9666","0.9944","0.9991","0.9631","-2.77"
"Jun 15, 2022","0.9941","1.0015","1.0053","0.9930","-0.74"
"Jun 14, 2022","1.0015","0.9980","1.0039","0.9872","0.39"
"Jun 13, 2022","0.9976","0.9872","0.9996","0.9872","1.06"
"Jun 10, 2022","0.9871","0.9807","0.9900","0.9765","0.68"
"Jun 09, 2022","0.9804","0.9783","0.9820","0.9724","0.25"
"Jun 08, 2022","0.9780","0.9731","0.9791","0.9721","0.51"
"Jun 07, 2022","0.9730","0.9708","0.9782","0.9705","0.27"
"Jun 06, 2022","0.9704","0.9625","0.9715","0.9604","0.83"
"Jun 03, 2022","0.9624","0.9583","0.9643","0.9556","0.45"
"Jun 02, 2022","0.9581","0.9631","0.9638","0.9574","-0.49"
"Jun 01, 2022","0.9628","0.9595","0.9660","0.9589","0.38"
"May 31, 2022","0.9592","0.9575","0.9621","0.9567","0.20"
"May 30, 2022","0.9573","0.9570","0.9607","0.9553","0.03"
"May 27, 2022","0.9570","0.9599","0.9604","0.9545","-0.24"
"May 26, 2022","0.9593","0.9620","0.9635","0.9582","-0.23"
"May 25, 2022","0.9615","0.9601","0.9645","0.9599","0.14"
"May 24, 2022","0.9602","0.9659","0.9672","0.9574","-0.58"
"May 23, 2022","0.9658","0.9751","0.9755","0.9628","-0.94"
"May 20, 2022","0.9750","0.9729","0.9765","0.9693","0.21"
"May 19, 2022","0.9730","0.9880","0.9890","0.9696","-1.49"
"May 18, 2022","0.9877","0.9939","0.9989","0.9859","-0.57"
"May 17, 2022","0.9934","1.0021","1.0026","0.9918","-0.84"
"May 16, 2022","1.0018","1.0022","1.0066","1.0007","0.01"
"May 13, 2022","1.0017","1.0035","1.0049","0.9991","-0.12"
"May 12, 2022","1.0029","0.9944","1.0051","0.9931","0.86"
"May 11, 2022","0.9943","0.9962","0.9966","0.9871","-0.17"
"May 10, 2022","0.9960","0.9938","0.9977","0.9905","0.24"
"May 09, 2022","0.9936","0.9882","0.9967","0.9879","0.50"
"May 06, 2022","0.9887","0.9848","0.9894","0.9826","0.40"
"May 05, 2022","0.9848","0.9722","0.9891","0.9708","1.32"
"May 04, 2022","0.9720","0.9778","0.9854","0.9719","-0.69"
"May 03, 2022","0.9788","0.9782","0.9801","0.9719","0.09"
"May 02, 2022","0.9779","0.9708","0.9790","0.9708","0.46"
"Apr 29, 2022","0.9734","0.9717","0.9738","0.9671","0.13"
"Apr 28, 2022","0.9721","0.9691","0.9760","0.9679","0.33"
"Apr 27, 2022","0.9689","0.9624","0.9703","0.9614","0.66"
"Apr 26, 2022","0.9625","0.9593","0.9629","0.9564","0.31"
"Apr 25, 2022","0.9595","0.9577","0.9599","0.9546","0.25"
"Apr 22, 2022","0.9571","0.9531","0.9594","0.9528","0.42"
"Apr 21, 2022","0.9531","0.9485","0.9554","0.9457","0.52"
"Apr 20, 2022","0.9482","0.9518","0.9538","0.9454","-0.36"
"Apr 19, 2022","0.9516","0.9442","0.9525","0.9433","0.73"
"Apr 18, 2022","0.9447","0.9443","0.9455","0.9420","0.23"
"Apr 15, 2022","0.9425","0.9423","0.9447","0.9411","0.04"
"Apr 14, 2022","0.9421","0.9349","0.9434","0.9323","0.81"
"Apr 13, 2022","0.9345","0.9334","0.9358","0.9313","0.15"
"Apr 12, 2022","0.9331","0.9308","0.9346","0.9286","0.28"
"Apr 11, 2022","0.9305","0.9302","0.9373","0.9299","-0.44"
"Apr 08, 2022","0.9346","0.9344","0.9376","0.9327","0.06"
"Apr 07, 2022","0.9340","0.9332","0.9349","0.9316","0.12"
"Apr 06, 2022","0.9329","0.9296","0.9352","0.9288","0.33"
"Apr 05, 2022","0.9298","0.9264","0.9299","0.9237","0.39"
"Apr 04, 2022","0.9262","0.9259","0.9282","0.9244","0.09"
"Apr 01, 2022","0.9254","0.9229","0.9281","0.9219","0.30"
"Mar 31, 2022","0.9226","0.9232","0.9260","0.9194","-0.06"
"Mar 30, 2022","0.9232","0.9316","0.9320","0.9219","-0.87"
"Mar 29, 2022","0.9313","0.9339","0.9375","0.9297","-0.27"
"Mar 28, 2022","0.9338","0.9312","0.9383","0.9300","0.38"
"Mar 25, 2022","0.9303","0.9302","0.9316","0.9259","0.01"
"Mar 24, 2022","0.9302","0.9306","0.9349","0.9297","-0.03"
"Mar 23, 2022","0.9305","0.9331","0.9359","0.9301","-0.28"
"Mar 22, 2022","0.9331","0.9340","0.9377","0.9313","-0.04"
"Mar 21, 2022","0.9335","0.9319","0.9354","0.9294","0.25"
"Mar 18, 2022","0.9312","0.9371","0.9384","0.9313","-0.60"
"Mar 17, 2022","0.9368","0.9405","0.9433","0.9336","-0.36"
"Mar 16, 2022","0.9402","0.9411","0.9462","0.9390","-0.09"
"Mar 15, 2022","0.9410","0.9386","0.9433","0.9372","0.27"
"Mar 14, 2022","0.9385","0.9336","0.9390","0.9319","0.42"
"Mar 11, 2022","0.9346","0.9302","0.9354","0.9290","0.49"
"Mar 10, 2022","0.9300","0.9263","0.9311","0.9255","0.41"
"Mar 09, 2022","0.9262","0.9294","0.9304","0.9250","-0.30"
"Mar 08, 2022","0.9290","0.9257","0.9308","0.9248","0.40"
"Mar 07, 2022","0.9253","0.9182","0.9275","0.9168","0.96"
"Mar 04, 2022","0.9165","0.9172","0.9212","0.9162","-0.07"
"Mar 03, 2022","0.9171","0.9202","0.9218","0.9171","-0.37"
"Mar 02, 2022","0.9205","0.9184","0.9240","0.9165","0.22"
"Mar 01, 2022","0.9185","0.9167","0.9207","0.9150","0.21"
"Feb 28, 2022","0.9166","0.9281","0.9284","0.9165","-0.91"
"Feb 25, 2022","0.9250","0.9257","0.9286","0.9228","-0.10"
"Feb 24, 2022","0.9259","0.9183","0.9291","0.9172","0.85"
"Feb 23, 2022","0.9181","0.9205","0.9220","0.9168","-0.36"
"Feb 22, 2022","0.9214","0.9158","0.9230","0.9151","0.63"
"Feb 21, 2022","0.9156","0.9207","0.9222","0.9150","-0.64"
"Feb 18, 2022","0.9215","0.9204","0.9221","0.9190","0.15"
"Feb 17, 2022","0.9201","0.9229","0.9230","0.9187","-0.27"
"Feb 16, 2022","0.9226","0.9257","0.9262","0.9205","-0.30"
"Feb 15, 2022","0.9254","0.9244","0.9275","0.9226","0.11"
"Feb 14, 2022","0.9244","0.9258","0.9273","0.9237","-0.13"
