"Date","Price","Open","High","Low","Change %"
"Aug 12, 2022","0.9745","0.9694","0.9768","0.9682","0.57"
"Aug 11, 2022","0.9690","0.9711","0.9732","0.9647","-0.19"
"Aug 10, 2022","0.9708","0.9790","0.9803","0.9643","-0.84"
"Aug 09, 2022","0.9790","0.9806","0.9815","0.9758","-0.15"
"Aug 08, 2022","0.9805","0.9825","0.9844","0.9783","-0.13"
"Aug 05, 2022","0.9818","0.9760","0.9861","0.9753","0.60"
"Aug 04, 2022","0.9759","0.9838","0.9848","0.9751","-0.78"
"Aug 03, 2022","0.9836","0.9837","0.9879","0.9794","0.00"
"Aug 02, 2022","0.9836","0.9746","0.9840","0.9714","0.96"
"Aug 01, 2022","0.9742","0.9787","0.9799","0.9731","-0.42"
"Jul 29, 2022","0.9783","0.9806","0.9857","0.9751","-0.23"
"Jul 28, 2022","0.9806","0.9806","0.9887","0.9769","0.08"
"Jul 27, 2022","0.9798","0.9884","0.9905","0.9783","-0.86"
"Jul 26, 2022","0.9883","0.9785","0.9894","0.9754","1.04"
"Jul 25, 2022","0.9781","0.9792","0.9824","0.9748","-0.09"
"Jul 22, 2022","0.9790","0.9776","0.9872","0.9750","0.17"
"Jul 21, 2022","0.9773","0.9825","0.9848","0.9729","-0.50"
"Jul 20, 2022","0.9822","0.9779","0.9847","0.9733","0.46"
"Jul 19, 2022","0.9777","0.9860","0.9882","0.9737","-0.82"
"Jul 18, 2022","0.9858","0.9916","0.9923","0.9801","-0.52"
"Jul 15, 2022","0.9910","0.9982","0.9994","0.9902","-0.70"
"Jul 14, 2022","0.9980","0.9939","1.0049","0.9935","0.44"
"Jul 13, 2022","0.9936","0.9962","1.0002","0.9879","-0.23"
"Jul 12, 2022","0.9959","0.9960","1.0000","0.9926","0.02"
"Jul 11, 2022","0.9957","0.9829","0.9966","0.9819","1.44"
"Jul 08, 2022","0.9816","0.9843","0.9929","0.9811","-0.24"
"Jul 07, 2022","0.9840","0.9822","0.9858","0.9783","0.20"
"Jul 06, 2022","0.9820","0.9739","0.9841","0.9730","0.85"
"Jul 05, 2022","0.9737","0.9598","0.9771","0.9570","1.51"
"Jul 04, 2022","0.9592","0.9593","0.9600","0.9557","0.04"
"Jul 01, 2022","0.9588","0.9541","0.9647","0.9536","0.53"
"Jun 30, 2022","0.9537","0.9578","0.9632","0.9534","-0.41"
"Jun 29, 2022","0.9576","0.9507","0.9584","0.9491","0.75"
"Jun 28, 2022","0.9505","0.9448","0.9521","0.9428","0.61"
"Jun 27, 2022","0.9447","0.9474","0.9479","0.9420","-0.25"
"Jun 24, 2022","0.9471","0.9499","0.9513","0.9459","-0.28"
"Jun 23, 2022","0.9498","0.9463","0.9539","0.9450","0.37"
"Jun 22, 2022","0.9463","0.9499","0.9553","0.9428","-0.37"
"Jun 21, 2022","0.9498","0.9514","0.9517","0.9449","-0.15"
"Jun 20, 2022","0.9512","0.9549","0.9549","0.9481","-0.11"
"Jun 17, 2022","0.9522","0.9480","0.9574","0.9470","0.47"
"Jun 16, 2022","0.9477","0.9574","0.9633","0.9432","-1.00"
"Jun 15, 2022","0.9573","0.9600","0.9654","0.9516","-0.26"
"Jun 14, 2022","0.9598","0.9606","0.9618","0.9537","-0.09"
"Jun 13, 2022","0.9607","0.9512","0.9615","0.9506","1.05"
"Jun 10, 2022","0.9507","0.9419","0.9518","0.9395","0.94"
"Jun 09, 2022","0.9418","0.9331","0.9424","0.9281","0.94"
"Jun 08, 2022","0.9330","0.9346","0.9371","0.9303","-0.14"
"Jun 07, 2022","0.9343","0.9350","0.9388","0.9333","-0.06"
"Jun 06, 2022","0.9349","0.9327","0.9360","0.9300","0.24"
"Jun 03, 2022","0.9327","0.9306","0.9342","0.9290","0.27"
"Jun 02, 2022","0.9302","0.9391","0.9395","0.9301","-0.92"
"Jun 01, 2022","0.9388","0.9316","0.9410","0.9312","0.79"
"May 31, 2022","0.9314","0.9277","0.9365","0.9276","0.41"
"May 30, 2022","0.9276","0.9314","0.9323","0.9270","-0.46"
"May 27, 2022","0.9319","0.9323","0.9349","0.9289","-0.02"
"May 26, 2022","0.9321","0.9360","0.9379","0.9317","-0.42"
"May 25, 2022","0.9360","0.9313","0.9397","0.9312","0.49"
"May 24, 2022","0.9314","0.9354","0.9380","0.9302","-0.41"
"May 23, 2022","0.9352","0.9459","0.9471","0.9347","-1.20"
"May 20, 2022","0.9466","0.9445","0.9495","0.9434","0.25"
"May 19, 2022","0.9442","0.9551","0.9560","0.9427","-1.14"
"May 18, 2022","0.9551","0.9480","0.9560","0.9466","0.77"
"May 17, 2022","0.9478","0.9584","0.9589","0.9473","-1.10"
"May 16, 2022","0.9583","0.9611","0.9626","0.9575","-0.20"
"May 13, 2022","0.9602","0.9635","0.9663","0.9596","-0.32"
"May 12, 2022","0.9633","0.9513","0.9658","0.9497","1.29"
"May 11, 2022","0.9510","0.9498","0.9523","0.9454","0.15"
"May 10, 2022","0.9496","0.9472","0.9501","0.9446","0.26"
"May 09, 2022","0.9471","0.9477","0.9528","0.9439","-0.03"
"May 06, 2022","0.9474","0.9484","0.9540","0.9434","-0.11"
"May 05, 2022","0.9484","0.9414","0.9531","0.9396","0.76"
"May 04, 2022","0.9412","0.9510","0.9518","0.9406","-0.94"
"May 03, 2022","0.9501","0.9516","0.9529","0.9454","-0.18"
"May 02, 2022","0.9518","0.9478","0.9533","0.9462","0.37"
"Apr 29, 2022","0.9483","0.9528","0.9532","0.9440","-0.41"
"Apr 28, 2022","0.9522","0.9473","0.9550","0.9464","0.54"
"Apr 27, 2022","0.9471","0.9401","0.9512","0.9385","0.77"
"Apr 26, 2022","0.9399","0.9334","0.9402","0.9312","0.71"
"Apr 25, 2022","0.9333","0.9224","0.9349","0.9223","0.76"
"Apr 22, 2022","0.9263","0.9227","0.9285","0.9215","0.41"
"Apr 21, 2022","0.9225","0.9215","0.9239","0.9143","0.14"
"Apr 20, 2022","0.9212","0.9269","0.9273","0.9201","-0.60"
"Apr 19, 2022","0.9268","0.9274","0.9294","0.9247","-0.05"
"Apr 18, 2022","0.9273","0.9255","0.9286","0.9240","0.24"
"Apr 15, 2022","0.9251","0.9236","0.9262","0.9233","0.19"
"Apr 14, 2022","0.9233","0.9185","0.9296","0.9154","0.53"
"Apr 13, 2022","0.9184","0.9236","0.9252","0.9178","-0.54"
"Apr 12, 2022","0.9234","0.9190","0.9241","0.9171","0.50"
"Apr 11, 2022","0.9188","0.9145","0.9197","0.9131","-0.03"
"Apr 08, 2022","0.9191","0.9192","0.9229","0.9180","0.00"
"Apr 07, 2022","0.9191","0.9179","0.9204","0.9141","0.16"
"Apr 06, 2022","0.9176","0.9169","0.9196","0.9142","0.09"
"Apr 05, 2022","0.9168","0.9114","0.9175","0.9100","0.61"
