"Date","Price","Open","High","Low","Change %"
"Aug 12, 2022","79.641","79.610","79.759","79.590","0.08"
"Aug 11, 2022","79.580","79.066","79.695","79.066","0.62"
"Aug 10, 2022","79.090","79.560","79.613","79.018","-0.59"
"Aug 09, 2022","79.563","79.582","79.661","79.497","-0.03"
"Aug 08, 2022","79.584","79.425","79.689","79.420","0.28"
"Aug 05, 2022","79.360","79.160","79.494","78.918","0.25"
"Aug 04, 2022","79.160","79.096","79.840","79.048","0.07"
"Aug 03, 2022","79.108","78.627","79.243","78.574","0.66"
"Aug 02, 2022","78.587","78.961","79.002","78.393","-0.47"
"Aug 01, 2022","78.959","79.185","79.241","78.894","-0.48"
"Jul 29, 2022","79.336","79.604","79.604","79.168","-0.36"
"Jul 28, 2022","79.626","79.763","79.855","79.586","-0.27"
"Jul 27, 2022","79.845","79.823","79.995","79.774","0.00"
"Jul 26, 2022","79.843","79.735","79.884","79.692","0.19"
"Jul 25, 2022","79.691","79.784","79.885","79.678","-0.17"
"Jul 22, 2022","79.830","79.883","79.938","79.803","-0.03"
"Jul 21, 2022","79.850","80.026","80.067","79.760","-0.16"
"Jul 20, 2022","79.980","79.907","80.067","79.878","0.16"
"Jul 19, 2022","79.850","79.989","80.072","79.857","-0.18"
"Jul 18, 2022","79.990","79.817","80.020","79.703","0.29"
"Jul 15, 2022","79.760","79.867","79.979","79.715","-0.16"
"Jul 14, 2022","79.890","79.708","80.235","79.666","0.30"
"Jul 13, 2022","79.650","79.490","79.870","79.475","0.25"
"Jul 12, 2022","79.450","79.466","79.666","79.459","0.05"
"Jul 11, 2022","79.410","79.255","79.585","79.255","0.19"
"Jul 08, 2022","79.260","79.180","79.435","79.128","0.14"
"Jul 07, 2022","79.150","79.048","79.261","78.885","0.16"
"Jul 06, 2022","79.020","79.163","79.383","78.918","-0.32"
"Jul 05, 2022","79.271","78.965","79.427","78.945","0.46"
"Jul 04, 2022","78.909","78.978","79.062","78.859","-0.02"
"Jul 01, 2022","78.928","78.970","79.136","78.805","-0.03"
"Jun 30, 2022","78.950","78.915","79.095","78.866","0.04"
"Jun 29, 2022","78.920","79.007","79.070","78.843","-0.06"
"Jun 28, 2022","78.970","78.449","79.049","78.432","0.70"
"Jun 27, 2022","78.420","78.268","78.571","78.193","0.24"
"Jun 24, 2022","78.230","78.162","78.365","78.113","0.12"
"Jun 23, 2022","78.140","78.220","78.386","78.129","-0.03"
"Jun 22, 2022","78.160","78.135","78.395","78.106","0.06"
"Jun 21, 2022","78.116","77.949","78.151","77.929","0.28"
"Jun 20, 2022","77.899","78.004","78.037","77.856","-0.05"
"Jun 17, 2022","77.935","78.005","78.113","77.944","-0.02"
"Jun 16, 2022","77.949","78.037","78.109","77.911","-0.26"
"Jun 15, 2022","78.148","78.013","78.229","77.971","0.20"
"Jun 14, 2022","77.994","78.105","78.105","77.930","-0.12"
"Jun 13, 2022","78.087","78.195","78.313","77.968","-0.04"
"Jun 10, 2022","78.116","77.780","78.202","77.762","0.41"
"Jun 09, 2022","77.800","77.721","77.881","77.686","0.15"
"Jun 08, 2022","77.683","77.703","77.791","77.600","0.05"
"Jun 07, 2022","77.647","77.795","77.841","77.627","-0.19"
"Jun 06, 2022","77.797","77.690","77.854","77.564","0.26"
"Jun 03, 2022","77.592","77.425","77.662","77.385","0.27"
"Jun 02, 2022","77.382","77.556","77.654","77.383","-0.22"
"Jun 01, 2022","77.550","77.646","77.660","77.442","-0.02"
"May 31, 2022","77.569","77.553","77.746","77.541","0.04"
"May 30, 2022","77.537","77.594","77.594","77.473","-0.08"
"May 27, 2022","77.596","77.638","77.683","77.530","-0.02"
"May 26, 2022","77.614","77.502","77.721","77.486","0.14"
"May 25, 2022","77.508","77.479","77.641","77.442","0.06"
"May 24, 2022","77.460","77.543","77.687","77.469","-0.07"
"May 23, 2022","77.517","77.675","77.730","77.439","-0.43"
"May 20, 2022","77.850","77.444","77.899","77.432","0.58"
"May 19, 2022","77.400","77.815","77.820","77.386","-0.51"
"May 18, 2022","77.800","77.463","77.810","77.460","0.45"
"May 17, 2022","77.454","77.805","77.810","77.375","-0.46"
"May 16, 2022","77.811","77.499","77.915","77.499","0.44"
"May 13, 2022","77.470","77.440","77.562","77.253","0.06"
"May 12, 2022","77.420","77.423","77.635","77.304","0.01"
"May 11, 2022","77.410","77.268","77.509","77.145","0.27"
"May 10, 2022","77.202","77.381","77.458","77.115","-0.19"
"May 09, 2022","77.350","77.001","77.536","76.988","0.51"
"May 06, 2022","76.956","76.518","77.078","76.512","0.61"
"May 05, 2022","76.492","76.155","76.577","75.990","0.31"
"May 04, 2022","76.257","76.453","76.589","76.190","-0.27"
"May 03, 2022","76.460","76.490","76.692","76.449","-0.01"
"May 02, 2022","76.470","76.505","76.533","76.334","-0.07"
"Apr 29, 2022","76.520","76.618","76.694","76.271","-0.18"
"Apr 28, 2022","76.660","76.540","76.732","76.419","0.07"
"Apr 27, 2022","76.605","76.768","76.806","76.490","-0.07"
"Apr 26, 2022","76.660","76.553","76.698","76.436","-0.08"
"Apr 25, 2022","76.720","76.558","76.788","76.543","0.34"
"Apr 22, 2022","76.460","76.296","76.546","76.195","0.29"
"Apr 21, 2022","76.241","76.265","76.373","76.076","-0.00"
"Apr 20, 2022","76.241","76.477","76.533","76.149","-0.25"
"Apr 19, 2022","76.430","76.293","76.573","76.246","0.22"
"Apr 18, 2022","76.261","76.313","76.435","76.205","-0.06"
"Apr 15, 2022","76.305","76.309","76.349","76.278","0.05"
"Apr 14, 2022","76.265","76.147","76.294","76.074","0.22"
"Apr 13, 2022","76.095","76.150","76.280","76.023","0.05"
"Apr 12, 2022","76.055","75.940","76.197","75.927","0.32"
"Apr 11, 2022","75.810","75.962","76.090","75.784","-0.17"
"Apr 08, 2022","75.938","75.930","76.065","75.702","0.06"
"Apr 07, 2022","75.891","75.945","76.055","75.762","-0.05"
"Apr 06, 2022","75.929","75.428","76.077","75.410","0.64"
"Apr 05, 2022","75.443","75.440","75.560","75.266","0.02"
"Apr 04, 2022","75.429","75.920","75.945","75.359","-0.72"
"Apr 01, 2022","75.973","75.925","76.026","75.846","0.09"
"Mar 31, 2022","75.901","75.827","75.968","75.643","0.13"
"Mar 30, 2022","75.801","75.662","75.988","75.603","0.21"
"Mar 29, 2022","75.640","75.980","76.164","75.566","-0.58"
"Mar 28, 2022","76.080","76.325","76.385","76.039","-0.26"
"Mar 25, 2022","76.280","76.246","76.309","76.125","-0.03"
"Mar 24, 2022","76.300","76.530","76.530","76.188","-0.29"
"Mar 23, 2022","76.520","76.121","76.530","75.977","0.51"
"Mar 22, 2022","76.131","76.290","76.498","75.995","-0.20"
"Mar 21, 2022","76.280","76.058","76.293","76.005","0.30"
"Mar 18, 2022","76.050","76.079","76.215","76.007","0.18"
"Mar 17, 2022","75.912","76.056","76.081","75.753","-0.36"
"Mar 16, 2022","76.190","76.266","76.486","76.117","-0.29"
"Mar 15, 2022","76.410","76.470","76.683","76.297","-0.03"
"Mar 14, 2022","76.430","76.663","76.715","76.445","-0.07"
"Mar 11, 2022","76.483","76.372","76.715","76.249","0.25"
"Mar 10, 2022","76.290","76.256","76.505","76.056","-0.09"
"Mar 09, 2022","76.355","76.915","77.004","76.317","-0.70"
"Mar 08, 2022","76.890","76.984","77.187","76.715","-0.09"
"Mar 07, 2022","76.960","76.675","77.173","76.658","0.72"
"Mar 04, 2022","76.410","75.935","76.451","75.935","0.61"
"Mar 03, 2022","75.943","75.652","76.020","75.603","0.44"
"Mar 02, 2022","75.611","75.912","75.940","75.569","-0.19"
"Mar 01, 2022","75.752","75.289","75.816","75.260","0.34"
"Feb 28, 2022","75.493","75.760","75.790","75.282","0.58"
"Feb 25, 2022","75.060","75.428","75.488","75.075","-0.71"
"Feb 24, 2022","75.600","74.692","75.848","74.657","1.30"
"Feb 23, 2022","74.630","74.625","74.730","74.532","0.01"
"Feb 22, 2022","74.620","74.697","74.994","74.616","0.17"
"Feb 21, 2022","74.495","74.584","74.741","74.343","-0.23"
"Feb 18, 2022","74.670","75.075","75.105","74.479","-0.57"
"Feb 17, 2022","75.100","74.993","75.238","74.953","0.10"
"Feb 16, 2022","75.022","75.175","75.297","74.947","-0.17"
"Feb 15, 2022","75.149","75.630","75.736","75.162","-0.67"
"Feb 14, 2022","75.658","75.573","75.712","75.355","0.45"
"Feb 11, 2022","75.319","75.315","75.506","75.171","0.33"
"Feb 10, 2022","75.074","74.809","75.288","74.804","0.40"
"Feb 09, 2022","74.778","74.718","74.872","74.630","0.12"
"Feb 08, 2022","74.690","74.641","74.810","74.575","0.05"
"Feb 07, 2022","74.655","74.697","74.832","74.625","0.01"
"Feb 04, 2022","74.645","74.644","74.843","74.601","0.00"
"Feb 03, 2022","74.644","74.851","74.941","74.621","-0.24"
"Feb 02, 2022","74.823","74.751","75.047","74.685","0.10"
"Feb 01, 2022","74.751","74.561","74.902","74.432","0.26"
"Jan 31, 2022","74.556","75.035","75.077","74.556","-0.65"
"Jan 28, 2022","75.046","75.203","75.224","74.881","-0.22"
"Jan 27, 2022","75.209","75.139","75.329","75.054","0.41"
"Jan 26, 2022","74.903","74.798","74.979","74.720","0.16"
"Jan 25, 2022","74.787","74.657","74.819","74.567","0.19"
"Jan 24, 2022","74.642","74.373","74.757","74.307","0.31"
"Jan 21, 2022","74.409","74.483","74.593","74.279","-0.08"
"Jan 20, 2022","74.468","74.420","74.552","74.311","0.02"
"Jan 19, 2022","74.455","74.567","74.747","74.375","-0.15"
"Jan 18, 2022","74.565","74.243","74.618","74.213","0.42"
"Jan 17, 2022","74.255","74.182","74.377","74.137","0.13"
"Jan 14, 2022","74.156","73.929","74.213","73.916","0.25"
"Jan 13, 2022","73.972","73.773","73.993","73.773","0.24"
"Jan 12, 2022","73.797","73.797","74.072","73.762","-0.03"
"Jan 11, 2022","73.817","74.047","74.056","73.767","-0.28"
"Jan 10, 2022","74.025","74.215","74.235","73.996","-0.34"
"Jan 07, 2022","74.278","74.434","74.434","74.246","-0.14"
"Jan 06, 2022","74.385","74.432","74.520","74.326","0.13"
"Jan 05, 2022","74.285","74.535","74.600","74.254","-0.33"
"Jan 04, 2022","74.530","74.389","74.732","74.389","0.17"
"Jan 03, 2022","74.400","74.484","74.502","74.266","-0.12"
"Dec 31, 2021","74.486","74.422","74.532","74.106","0.10"
"Dec 30, 2021","74.415","74.495","74.670","74.284","-0.21"
"Dec 29, 2021","74.570","74.750","74.865","74.568","-0.19"
"Dec 28, 2021","74.715","74.939","75.000","74.599","-0.35"
"Dec 27, 2021","74.980","75.019","75.190","74.959","-0.03"
"Dec 24, 2021","75.004","75.059","75.228","74.998","-0.04"
"Dec 23, 2021","75.035","75.503","75.505","75.035","-0.56"
"Dec 22, 2021","75.460","75.685","75.685","75.449","-0.32"
"Dec 21, 2021","75.705","75.795","75.800","75.404","-0.03"
"Dec 20, 2021","75.730","76.030","76.188","75.730","-0.37"
"Dec 17, 2021","76.013","76.208","76.309","75.951","-0.22"
"Dec 16, 2021","76.184","76.179","76.343","76.086","-0.22"
"Dec 15, 2021","76.355","76.097","76.423","76.035","0.41"
"Dec 14, 2021","76.045","75.775","76.045","75.752","0.36"
"Dec 13, 2021","75.770","75.680","75.818","75.575","0.07"
"Dec 10, 2021","75.718","75.633","75.885","75.585","0.16"
"Dec 09, 2021","75.599","75.405","75.691","75.381","0.29"
"Dec 08, 2021","75.384","75.412","75.591","75.306","-0.03"
"Dec 07, 2021","75.409","75.397","75.513","75.272","0.02"
"Dec 06, 2021","75.395","75.181","75.475","75.181","0.20"
"Dec 03, 2021","75.241","75.017","75.349","74.948","0.34"
"Dec 02, 2021","74.989","75.016","75.099","74.902","-0.04"
"Dec 01, 2021","75.021","75.087","75.087","74.798","-0.11"
"Nov 30, 2021","75.100","75.043","75.204","74.852","0.07"
"Nov 29, 2021","75.050","74.826","75.186","74.803","-0.02"
"Nov 26, 2021","75.065","74.601","75.105","74.575","0.76"
"Nov 25, 2021","74.502","74.647","74.647","74.464","-0.16"
"Nov 24, 2021","74.622","74.438","74.622","74.322","0.24"
"Nov 23, 2021","74.447","74.440","74.592","74.371","0.00"
"Nov 22, 2021","74.445","74.347","74.527","74.298","0.13"
"Nov 19, 2021","74.350","74.184","74.498","74.184","0.25"
"Nov 18, 2021","74.165","74.295","74.338","74.015","-0.12"
"Nov 17, 2021","74.255","74.469","74.542","74.218","-0.27"
"Nov 16, 2021","74.457","74.425","74.535","74.285","0.07"
"Nov 15, 2021","74.404","74.373","74.520","74.340","0.08"
"Nov 12, 2021","74.347","74.334","74.545","74.274","0.05"
"Nov 11, 2021","74.312","74.410","74.607","74.282","-0.14"
"Nov 10, 2021","74.415","74.187","74.437","74.076","0.32"
"Nov 09, 2021","74.175","73.905","74.175","73.834","0.34"
"Nov 08, 2021","73.921","74.224","74.295","73.876","-0.36"
"Nov 05, 2021","74.191","74.560","74.582","74.171","-0.48"
"Nov 04, 2021","74.548","74.450","74.567","74.218","0.13"
"Nov 03, 2021","74.452","74.700","74.745","74.380","-0.33"
"Nov 02, 2021","74.695","74.837","74.910","74.570","-0.19"
"Nov 01, 2021","74.837","74.935","75.045","74.794","-0.13"
"Oct 29, 2021","74.935","74.803","75.048","74.755","0.20"
"Oct 28, 2021","74.788","75.069","75.136","74.750","-0.37"
"Oct 27, 2021","75.069","74.942","75.110","74.884","0.17"
"Oct 26, 2021","74.942","75.022","75.175","74.862","-0.11"
"Oct 25, 2021","75.022","74.945","75.182","74.887","0.03"
"Oct 22, 2021","74.999","74.869","74.999","74.672","0.15"
"Oct 21, 2021","74.889","74.829","74.944","74.703","0.11"
"Oct 20, 2021","74.810","75.075","75.209","74.761","-0.41"
"Oct 19, 2021","75.120","75.240","75.275","74.892","-0.12"
"Oct 18, 2021","75.210","75.041","75.409","75.041","0.24"
"Oct 15, 2021","75.030","74.987","75.075","74.882","0.05"
"Oct 14, 2021","74.995","75.256","75.385","74.970","-0.41"
"Oct 13, 2021","75.306","75.502","75.535","75.194","-0.24"
"Oct 12, 2021","75.488","75.434","75.685","75.179","0.11"
"Oct 11, 2021","75.403","75.119","75.546","75.070","0.36"
"Oct 08, 2021","75.131","74.844","75.197","74.822","0.41"
"Oct 07, 2021","74.825","74.768","74.950","74.714","0.06"
"Oct 06, 2021","74.778","74.522","75.066","74.522","0.29"
"Oct 05, 2021","74.565","74.578","74.688","74.430","-0.03"
"Oct 04, 2021","74.588","74.147","74.597","74.135","0.59"
"Oct 01, 2021","74.150","74.190","74.389","74.090","-0.03"
"Sep 30, 2021","74.170","74.326","74.361","74.115","-0.17"
"Sep 29, 2021","74.298","74.174","74.359","74.097","0.13"
"Sep 28, 2021","74.200","73.800","74.260","73.734","0.51"
"Sep 27, 2021","73.825","73.685","73.886","73.610","0.01"
"Sep 24, 2021","73.821","73.832","73.875","73.619","0.01"
"Sep 23, 2021","73.810","73.880","73.912","73.600","-0.02"
"Sep 22, 2021","73.825","73.777","73.955","73.675","0.11"
"Sep 21, 2021","73.745","73.645","73.759","73.555","0.12"
"Sep 20, 2021","73.653","73.825","73.847","73.615","0.01"
"Sep 17, 2021","73.645","73.526","73.645","73.413","0.10"
"Sep 16, 2021","73.575","73.445","73.616","73.335","0.18"
"Sep 15, 2021","73.445","73.629","73.742","73.423","-0.27"
"Sep 14, 2021","73.647","73.529","73.734","73.517","0.11"
"Sep 13, 2021","73.565","73.545","73.787","73.545","0.06"
"Sep 10, 2021","73.524","73.556","73.556","73.375","-0.03"
"Sep 09, 2021","73.546","73.740","73.897","73.506","-0.34"
"Sep 08, 2021","73.796","73.416","73.883","73.412","0.48"
"Sep 07, 2021","73.442","73.073","73.494","73.047","0.50"
"Sep 06, 2021","73.078","72.995","73.131","72.971","0.11"
"Sep 03, 2021","72.997","73.013","73.166","72.930","-0.01"
"Sep 02, 2021","73.006","72.998","73.134","72.951","0.02"
"Sep 01, 2021","72.995","72.987","73.161","72.916","0.06"
"Aug 31, 2021","72.951","73.423","73.423","72.907","-0.47"
"Aug 30, 2021","73.299","73.456","73.556","73.187","-0.24"
"Aug 27, 2021","73.475","74.126","74.210","73.454","-0.92"
"Aug 26, 2021","74.155","74.103","74.275","74.091","0.05"
"Aug 25, 2021","74.120","74.150","74.310","74.120","-0.02"
"Aug 24, 2021","74.136","74.084","74.230","74.081","0.00"
"Aug 23, 2021","74.135","74.261","74.321","74.089","-0.29"
"Aug 20, 2021","74.352","74.385","74.483","74.322","-0.04"
"Aug 19, 2021","74.380","74.280","74.464","74.261","0.12"
"Aug 18, 2021","74.290","74.321","74.355","74.234","-0.11"
"Aug 17, 2021","74.375","74.134","74.395","74.134","0.28"
"Aug 16, 2021","74.170","74.232","74.305","74.123","-0.10"
"Aug 13, 2021","74.242","74.241","74.326","74.238","-0.10"
"Aug 12, 2021","74.315","74.103","74.340","74.103","0.07"
"Aug 11, 2021","74.263","74.419","74.501","74.201","-0.23"
"Aug 10, 2021","74.435","74.456","74.509","74.337","-0.07"
"Aug 09, 2021","74.488","74.243","74.488","74.203","0.33"
"Aug 06, 2021","74.242","74.082","74.242","74.041","0.19"
"Aug 05, 2021","74.100","74.172","74.290","74.087","-0.10"
"Aug 04, 2021","74.175","74.242","74.279","74.105","-0.10"
"Aug 03, 2021","74.251","74.317","74.368","74.204","-0.14"
"Aug 02, 2021","74.356","74.342","74.432","74.316","0.02"
"Jul 30, 2021","74.344","74.256","74.454","74.249","0.13"
"Jul 29, 2021","74.248","74.383","74.432","74.219","-0.34"
"Jul 28, 2021","74.500","74.526","74.534","74.310","-0.01"
"Jul 27, 2021","74.504","74.279","74.546","74.279","0.22"
"Jul 26, 2021","74.340","74.442","74.534","74.338","-0.12"
"Jul 23, 2021","74.427","74.457","74.575","74.374","-0.04"
"Jul 22, 2021","74.455","74.441","74.525","74.306","-0.05"
"Jul 21, 2021","74.495","74.525","74.642","74.493","-0.05"
"Jul 20, 2021","74.535","74.944","74.973","74.535","-0.43"
"Jul 19, 2021","74.858","74.681","75.032","74.681","0.33"
"Jul 16, 2021","74.610","74.532","74.669","74.491","0.08"
"Jul 15, 2021","74.550","74.462","74.576","74.436","0.11"
"Jul 14, 2021","74.470","74.654","74.660","74.461","-0.17"
"Jul 13, 2021","74.600","74.519","74.679","74.406","0.07"
"Jul 12, 2021","74.545","74.537","74.685","74.415","0.08"
"Jul 09, 2021","74.487","74.762","74.768","74.468","-0.34"
"Jul 08, 2021","74.740","74.744","74.875","74.660","-0.08"
"Jul 07, 2021","74.800","74.762","74.820","74.560","0.28"
"Jul 06, 2021","74.591","74.335","74.629","74.243","0.37"
"Jul 05, 2021","74.317","74.553","74.582","74.284","-0.27"
"Jul 02, 2021","74.518","74.558","74.887","74.502","-0.06"
"Jul 01, 2021","74.565","74.364","74.639","74.330","0.27"
"Jun 30, 2021","74.365","74.218","74.474","74.205","0.09"
"Jun 29, 2021","74.300","74.277","74.352","74.205","0.03"
"Jun 28, 2021","74.275","74.159","74.316","74.159","0.07"
"Jun 25, 2021","74.220","74.172","74.258","74.116","0.04"
"Jun 24, 2021","74.190","74.225","74.278","74.110","0.05"
"Jun 23, 2021","74.150","74.350","74.406","74.056","-0.26"
"Jun 22, 2021","74.340","74.120","74.418","74.051","0.27"
"Jun 21, 2021","74.140","74.102","74.336","74.058","0.03"
"Jun 18, 2021","74.120","74.208","74.301","73.818","-0.09"
"Jun 17, 2021","74.186","73.593","74.263","73.588","1.24"
"Jun 16, 2021","73.275","73.345","73.394","73.260","-0.12"
"Jun 15, 2021","73.360","73.208","73.383","73.159","0.24"
"Jun 14, 2021","73.185","73.257","73.296","73.102","-0.08"
"Jun 11, 2021","73.245","73.005","73.262","72.883","0.23"
"Jun 10, 2021","73.080","72.948","73.135","72.932","0.13"
"Jun 09, 2021","72.985","72.920","73.020","72.884","0.04"
"Jun 08, 2021","72.955","72.783","72.975","72.765","0.20"
"Jun 07, 2021","72.811","72.918","72.952","72.763","-0.08"
"Jun 04, 2021","72.870","73.040","73.129","72.812","-0.24"
"Jun 03, 2021","73.045","73.016","73.185","72.833","0.12"
"Jun 02, 2021","72.960","72.860","73.333","72.860","0.13"
"Jun 01, 2021","72.865","72.484","72.958","72.475","0.48"
"May 31, 2021","72.518","72.377","72.662","72.347","0.15"
"May 28, 2021","72.410","72.692","72.692","72.320","-0.41"
"May 27, 2021","72.710","72.684","72.798","72.508","-0.02"
"May 26, 2021","72.725","72.805","72.805","72.630","-0.10"
"May 25, 2021","72.795","72.870","72.880","72.745","-0.05"
"May 24, 2021","72.835","72.861","72.983","72.825","0.01"
"May 21, 2021","72.827","73.007","73.095","72.760","-0.26"
"May 20, 2021","73.015","73.157","73.227","73.015","-0.28"
"May 19, 2021","73.220","73.130","73.250","72.938","0.23"
"May 18, 2021","73.055","73.222","73.270","72.956","-0.38"
"May 17, 2021","73.335","73.281","73.335","73.151","0.05"
"May 14, 2021","73.300","73.450","73.486","73.189","-0.24"
"May 13, 2021","73.480","73.611","73.662","73.470","-0.08"
"May 12, 2021","73.538","73.379","73.541","73.371","0.22"
"May 11, 2021","73.375","73.503","73.540","73.280","-0.12"
"May 10, 2021","73.460","73.283","73.497","73.267","0.28"
"May 07, 2021","73.254","73.619","73.757","73.248","-0.48"
"May 06, 2021","73.605","73.788","74.007","73.595","-0.28"
"May 05, 2021","73.810","73.769","74.055","73.741","0.05"
"May 04, 2021","73.770","73.849","73.982","73.770","-0.07"
"May 03, 2021","73.820","74.260","74.335","73.820","-0.32"
"Apr 30, 2021","74.055","74.131","74.208","73.945","-0.06"
"Apr 29, 2021","74.100","74.210","74.295","73.957","-0.53"
"Apr 28, 2021","74.493","74.600","74.605","74.279","-0.13"
"Apr 27, 2021","74.590","74.798","74.843","74.513","-0.22"
"Apr 26, 2021","74.757","74.749","74.941","74.689","-0.23"
"Apr 23, 2021","74.930","75.131","75.134","74.760","-0.25"
"Apr 22, 2021","75.120","75.422","75.438","74.850","-0.42"
"Apr 21, 2021","75.439","75.371","75.579","75.293","0.06"
"Apr 20, 2021","75.395","74.674","75.458","74.520","0.71"
"Apr 19, 2021","74.860","74.556","75.060","74.548","0.43"
"Apr 16, 2021","74.540","74.715","74.862","74.292","-0.25"
"Apr 15, 2021","74.730","75.062","75.358","74.730","-0.44"
"Apr 14, 2021","75.060","75.185","75.259","75.059","-0.28"
"Apr 13, 2021","75.270","75.010","75.547","74.961","0.37"
"Apr 12, 2021","74.990","74.968","75.202","74.741","0.34"
"Apr 09, 2021","74.734","74.566","74.987","74.538","0.21"
"Apr 08, 2021","74.577","74.435","74.899","74.186","0.28"
"Apr 07, 2021","74.368","73.454","74.592","73.437","1.19"
"Apr 06, 2021","73.490","73.262","73.499","73.209","0.23"
"Apr 05, 2021","73.319","73.336","73.482","73.292","-0.09"
"Apr 02, 2021","73.385","73.286","73.405","73.268","0.07"
"Apr 01, 2021","73.332","73.175","73.459","73.162","0.25"
"Mar 31, 2021","73.148","73.418","73.627","73.056","-0.40"
"Mar 30, 2021","73.445","72.719","73.628","72.719","0.95"
"Mar 29, 2021","72.755","72.531","72.764","72.480","0.19"
"Mar 26, 2021","72.615","72.638","72.661","72.357","-0.07"
"Mar 25, 2021","72.665","72.585","72.715","72.552","0.10"
"Mar 24, 2021","72.595","72.565","72.728","72.502","0.06"
"Mar 23, 2021","72.555","72.371","72.555","72.268","0.24"
"Mar 22, 2021","72.380","72.450","72.536","72.312","-0.05"
"Mar 19, 2021","72.413","72.661","72.715","72.413","-0.39"
"Mar 18, 2021","72.700","72.342","72.729","72.324","0.18"
"Mar 17, 2021","72.570","72.548","72.632","72.510","0.08"
"Mar 16, 2021","72.515","72.515","72.642","72.368","-0.03"
"Mar 15, 2021","72.535","72.661","72.789","72.380","-0.21"
"Mar 12, 2021","72.690","72.664","72.876","72.630","-0.01"
"Mar 11, 2021","72.700","72.757","72.802","72.580","-0.04"
"Mar 10, 2021","72.730","72.811","73.107","72.728","-0.06"
"Mar 09, 2021","72.776","73.329","73.394","72.776","-0.80"
"Mar 08, 2021","73.360","73.205","73.409","72.933","0.23"
"Mar 05, 2021","73.190","73.071","73.217","72.745","0.62"
"Mar 04, 2021","72.739","72.886","73.113","72.599","-0.28"
"Mar 03, 2021","72.940","73.241","73.290","72.692","-0.44"
"Mar 02, 2021","73.260","73.388","73.513","73.260","-0.20"
"Mar 01, 2021","73.405","73.592","73.789","73.174","-0.72"
"Feb 26, 2021","73.937","72.963","74.072","72.949","1.64"
"Feb 25, 2021","72.745","72.391","72.767","72.289","0.49"
"Feb 24, 2021","72.390","72.390","72.475","72.268","0.01"
"Feb 23, 2021","72.382","72.465","72.561","72.304","-0.09"
"Feb 22, 2021","72.450","72.556","72.598","72.290","-0.15"
"Feb 19, 2021","72.560","72.593","72.732","72.417","-0.03"
"Feb 18, 2021","72.585","72.840","72.840","72.535","-0.34"
"Feb 17, 2021","72.835","72.910","72.981","72.740","-0.05"
"Feb 16, 2021","72.870","72.610","72.919","72.601","0.34"
"Feb 15, 2021","72.624","72.603","72.696","72.513","0.04"
"Feb 12, 2021","72.595","72.719","72.840","72.565","-0.16"
"Feb 11, 2021","72.710","72.796","72.900","72.673","-0.12"
"Feb 10, 2021","72.795","72.855","72.898","72.765","-0.08"
"Feb 09, 2021","72.856","72.922","72.951","72.822","-0.11"
"Feb 08, 2021","72.935","72.805","73.004","72.761","0.16"
"Feb 05, 2021","72.815","72.989","73.034","72.770","-0.19"
"Feb 04, 2021","72.955","72.826","72.997","72.826","0.19"
"Feb 03, 2021","72.815","72.953","73.012","72.805","-0.14"
"Feb 02, 2021","72.917","73.038","73.116","72.907","-0.28"
"Feb 01, 2021","73.120","72.908","73.200","72.815","0.29"
"Jan 29, 2021","72.906","72.935","73.060","72.829","-0.05"
"Jan 28, 2021","72.944","73.033","73.193","72.889","-0.17"
"Jan 27, 2021","73.070","72.904","73.092","72.790","0.21"
"Jan 26, 2021","72.915","72.943","73.138","72.838","-0.08"
"Jan 25, 2021","72.970","72.958","73.016","72.877","-0.02"
"Jan 22, 2021","72.985","72.955","73.105","72.915","0.02"
"Jan 21, 2021","72.970","72.924","73.056","72.900","0.08"
"Jan 20, 2021","72.915","73.195","73.195","72.883","-0.38"
"Jan 19, 2021","73.192","73.162","73.306","73.104","0.01"
"Jan 18, 2021","73.188","73.128","73.327","73.128","0.08"
"Jan 15, 2021","73.130","73.097","73.213","72.995","0.07"
"Jan 14, 2021","73.080","73.143","73.240","72.922","-0.12"
"Jan 13, 2021","73.170","73.175","73.238","73.065","-0.08"
"Jan 12, 2021","73.225","73.497","73.497","73.195","-0.34"
"Jan 11, 2021","73.474","73.439","73.600","73.367","0.18"
"Jan 08, 2021","73.340","73.440","73.495","73.204","-0.12"
"Jan 07, 2021","73.430","73.169","73.475","73.065","0.40"
"Jan 06, 2021","73.136","73.184","73.234","73.055","0.01"
